model,prompt_version,category,file,seconds
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,4_md.md,8.475
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,5_md.md,3.771
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,9_md.md,20.726
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,10_md.md,18.674
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,11_md.md,15.273
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,12_md.md,23.182
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,13_md.md,48.174
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,14_md.md,9.21
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,16_md.md,16.404
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,17_md.md,16.493
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,18_md.md,19.74
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,19_md.md,7.752
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,20_md.md,2.084
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,31_md.md,6.552
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,32_md.md,5.857
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,36_md.md,3.577
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,38_md.md,8.925
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,40_md.md,18.878
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,41_md.md,7.082
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,43_md.md,3.799
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,44_md.md,3.128
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,48_md.md,3.326
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,54_md.md,15.648
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,55_md.md,4.538
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,56_md.md,10.699
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,57_md.md,5.525
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,61_md.md,3.667
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,62_md.md,11.986
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,63_md.md,5.622
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,64_md.md,11.647
deepseek-v3.2,anchor_v2,1_长篇结构化应用文档,67_md.md,20.84
