file,category,model,prompt_version,score_rate,omission_rate
4_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.5
5_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5,0.375
9_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.6875,0.25
10_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.0,1.0
11_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.5
12_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.4375,0.375
13_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.4375,0.375
14_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.0625,0.875
16_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.625
17_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.5
18_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.25
19_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.5
20_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.625
31_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.25
32_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.4375,0.5
36_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.0,1.0
38_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.875,0.0
40_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.5
41_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.875,0.125
43_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.75
44_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5,0.5
48_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.75,0.25
54_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.4375,0.375
55_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5,0.375
56_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.25,0.625
57_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.625
61_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.625,0.375
62_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.25
63_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5,0.375
64_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.75
67_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.5
69_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.625
70_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.25
71_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.0,1.0
72_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.625,0.25
73_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.625,0.25
85_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.375
86_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.75
88_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.625,0.25
93_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.0,1.0
94_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.625,0.25
99_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.0625,0.875
100_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.5
101_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.6875,0.125
102_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.375
103_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.4375,0.375
104_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.5
107_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5,0.25
115_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.25,0.5
116_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.5
120_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.25,0.625
121_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.75,0.125
122_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.125
123_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5,0.375
124_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.75
125_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.25
126_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.375
127_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.625
128_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.25
129_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.625,0.25
133_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.9375,0.0
134_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.5
136_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.25,0.625
137_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.25,0.5
142_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.1875,0.75
147_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.6875,0.25
148_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.125,0.875
149_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.75,0.125
151_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.25,0.5
153_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.3125,0.625
154_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.375,0.375
156_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.6875,0.125
157_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.875,0.0
158_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v2,0.5625,0.375
